Open,High,Low,Volume,Adj Close
2409,2409,2350,332,2231.759277
2360,2368,2330,889,2215.402832
2340,2340,2305,666,2202.823242
2325,2380,2300,1504,2186.873291
2339,2339,2280,1220,2174.151367
2328,2328.899902,2270,2053,2162.474609
2315,2320,2282.5,6059,2184.025635
2321,2331,2295,2375,2188.250488
2290,2337.899902,2270.050049,1378,2203.155518
2328.899902,2552.699951,2321,8481,2423.509277
2600,2808,2560,20847,2517.167236
2651.350098,2735,2552,6370,2471.833008
2640,2800,2640,3474,2525.568359
2670,2710,2655,2598,2529.603516
2670.100098,2700,2626,3330,2501.358643
2720,2851,2657,15089,2676.379883
2901,3050,2899,25097,2835.591309
2995,3180,2995,21997,2977.71582
3160,3225,2983,20248,2942.303223
3155,3220,3120,22993,3031.640869
3230,3249,3155,9365,3023.856445
3200,3200,3125,3339,2992.668457
3172,3192,3110,2289,2972.683838
3158.949951,3158.949951,3000,5406,2856.524902
3100,3100,2975,3212,2831.889893
2999,3098,2965,2816,2828.661377
3045,3128,3032.100098,6030,2922.223877
3119.550049,3150,3041,3846,2917.714355
3080,3116,3040,2919,2910.926758
3115,3115,2960,2310,2908.837158
3060,3100,3055,1863,2905.276611
3010,3145,3010,4848,2961.197021
3200,3270,3151,8334,3018.63501
3199.949951,3338.550049,3190.050049,9394,3169.587158
3499,3500,3359,9289,3198.448975
3445,3445,3350,3262,3192.087646
3350,3374.649902,3290,3652,3137.830811
3310,3360,3140,4003,3044.03125
3249,3249,3050,3897,2914.533203
3070,3100,2916.399902,4126,2837.775635
3025,3138.5,3025,1464,2979.662354
3240,3250,3172,5514,3058.272217
3200.100098,3250,3165.050049,1804,3017.876221
3192,3229.949951,3125,3006,3003.634033
3210,3210,3050,3290,2980.658691
3197,3197,3160,1702,3026.181885
3152,3214,3150,1575,3023.33374
3160.100098,3235,3155,1543,3051.86377
3180,3370,3165,3100,3082.29126
3230,3279,3185.300049,1903,3070.565918
3200,3275,3182.100098,614,3031.071777
3200,3200,3115,1283,2977.146484
3010,3208,3006,1975,2992.621582
3150,3150,3050.050049,1363,2952.224854
3180,3198,3045,1460,2914.67627
3000,3099,3000,1688,2875.893311
3020,3048.899902,2950,3686,2825.10083
3000,3000,2841,2794,2720.999756
2866,2866,2720,6728,2632.517578
2810,2898,2800,1370,2671.964111
2948,2948,2750,845,2647.754639
2799,2874,2781.100098,2034,2709.988037
2939,2939,2770,1727,2649.605957
2820,2820,2701,2518,2588.417969
2775,2775,2725,1956,2604.147461
2770.100098,2825,2734,1078,2650.386475
2810,2912,2795,6315,2735.641846
2879.5,2945,2840,2328,2710.264648
2949,2970,2858.050049,4208,2723.522461
2939,2939,2800,2856,2672.626709
3000,3000,2803.399902,1387,2676.998535
2865,2868,2780,1104,2654.664307
2830,2849,2791.100098,1841,2668.396973
2820,2934,2796,2511,2720.765625
2880,2900,2860,2310,2734.405029
2801,2880,2801,989,2700.664551
2900,2900,2840.050049,1574,2733.740234
2885,2905,2825.050049,1143,2750.800049
2890,2909.899902,2861.050049,555,2737.446045
2960,2960,2870,639,2734.214844
2890,2935,2875,1821,2737.874756
2865,2910,2864.100098,779,2745.287598
2870,2920,2830,1138,2708.125244
2850,2890,2831,791,2741.961426
2900,2905,2852,1265,2718.818359
2915,2915,2805,709,2693.299072
2848,2848,2820,479,2701.234619
2850,2910,2850,2426,2761.87207
2880,2893.949951,2840,324,2729.747803
2885,2900,2876.100098,1524,2755.26709
2939.899902,2939.899902,2875,1412,2753.746338
2900,2900,2870,1112,2740.392822
2875,2893.850098,2851,1021,2721.811768
2875,2890,2800,971,2681.560547
2900,2939,2800,1238,2688.974609
2890,2890,2800,2758,2677.093994
2875,2970,2820,10162,2765.817139
2925,2988,2912,9506,2812.436523
2852,2970,2852,2634,2756.123047
2871,2908.899902,2810,3420,2707.84082
2776,2850,2761,2224,2645.87207
2785,2820,2745,1984,2632.945557
2819.300049,2825.5,2750.050049,1407,2626.483398
2794,2798,2717,1219,2597.447266
2750,2820,2731,3970,2612.227295
2705,2794,2705,1376,2602.341553
2750,2759.449951,2741,2195,2609.23291
2780,2800,2725,2656,2606.09668
2742,2770,2701,607,2624.392334
2775,2780,2735,1520,2604.908447
2752,2780,2715,1482,2592.790283
2744.75,2744.75,2685,1688,2561.71167
2750,2750,2674,1868,2547.026855
2710,2725,2680,1662,2556.863525
2691,2691,2660,908,2547.597168
2700,2745,2675,1776,2570.312988
2725,2725,2695,1659,2567.793213
2749.899902,2782,2718,2403,2637.793457
2740,2793.949951,2730,1509,2606.382324
2759,2769.949951,2730,1042,2602.295654
2790,2790,2705,1069,2581.004395
2716,2749.949951,2716,789,2605.003418
2780,2889,2750,8346,2718.913818
2865,2865,2800,1726,2663.074951
2730,2825,2725,1169,2664.595703
2805,2830,2800,1748,2669.585693
2801,2834.949951,2800,1436,2680.086914
2801,2829.949951,2800,1468,2661.792236
2802.100098,2950,2800.050049,4460,2729.701172
2945,3155,2820.100098,7305,2860.908936
3120,3297,3052,22215,3099.325684
3300,3398,3250.100098,14429,3117.382813
3340,3340,3211,3596,3059.596436
3270,3279.949951,3090,4975,2954.003418
3159.949951,3185,3095,2678,2950.772217
3101,3240,3087,3235,3013.548828
3185,3199.949951,3081,3847,2962.937988
3131,3199.899902,3105.100098,1761,3014.213135
3300,3300,3150.100098,3184,3055.605469
3160,3214.949951,3080,1747,2943.549072
3250,3250,3040.199951,2040,2898.641357
3050,3089,2945,2824,2871.600098
3060,3090,3041,2202,2906.243896
3050,3100,3024.25,2157,2908.049561
3070,3200,3070,3622,2975.531982
3100,3259.899902,3100,15804,3085.640137
3200,3246.899902,2925,2686,3003.759033
3170,3210,3100,1936,2973.534912
3200,3200,3120,717,2977.621826
3106,3220,3106,9054,2977.668701
3160,3160,3106,770,2983.22998
3139.949951,3154.800049,3103,930,2975.210205
3240,3265,3154,3081,3030.868896
3190.050049,3210,3110,814,3002.371338
3160,3225,3125,3960,3049.820068
3185,3219,3175,1179,3048.81665
3359,3359,3150,2399,3043.230713
3199,3280,3199,3967,3079.033203
3026.149902,3245,3026.149902,2238,3076.837646
3245,3285,3227.5,2067,3096.265869
3130,3245,3120,1193,3043.422852
3175.050049,3252,3090,12845,2988.480957
3189,3199.949951,3100,2148,2969.673096
3125,3149.949951,3100,1272,2965.758545
3105,3150,2930,1180,2927.475342
3110,3124,3090,2083,2961.271484
3110.050049,3240,3110.050049,2838,3058.983887
3310,3310,3162,2486,3073.543213
3285,3541.350098,3250,12209,3380.907715
3679.850098,3895.5,3605,35309,3699.345703
3940,4068.649902,3790,21946,3681.731445
3900,3962.449951,3825.050049,8709,3692.567871
3845,3845,3674.949951,4357,3536.999268
3765,3890.100098,3710,4668,3684.356689
3920,3970,3820,3428,3685.885254
3850,3904.949951,3751.050049,2702,3610.797607
3782.149902,3874,3782.149902,2605,3680.872314
3890,3915,3775,2891,3636.431396
3885,3999.449951,3689,11076,3547.692871
3720,3775,3530.25,4862,3374.844727
3580,3690,3540,2383,3395.848877
3650,3655,3395,3360,3251.97583
3371.75,3473,3301,2156,3282.765381
3500,3660,3500,1402,3401.147705
3600,3640,3542,4085,3435.133545
3628,3630,3560,1875,3422.054688
3629,3629,3515,1367,3391.695801
3600,3620,3433,2351,3339.999268
3580,3580,3450,1874,3349.355225
3550,3550,3500,859,3353.412842
3452,3533.949951,3425,1766,3296.703125
3570,3570,3380,2823,3239.70752
3549.949951,3550,3281,2058,3146.387451
3400,3430,3200,1246,3076.599121
3270,3383.75,3270,1534,3229.875244
3300,3332.899902,3214,2277,3081.99292
3235,3298,3080,1348,2985.425293
3130,3130,2970.75,822,2841.410645
2985,2990,2830,1303,2831.19458
2999.949951,3100,2855,1171,2759.257813
2832.350098,2880,2751,1046,2680.352783
2850,2947.949951,2850,334,2814.391357
2962,3069,2801,1107,2811.288086
2980,3010,2800,755,2693.861816
2865,2865,2750.149902,1103,2691.617188
2920,2920,2750,857,2649.276855
2700,2770,2636.25,1394,2620.350342
2705.199951,2770,2701,1219,2605.551758
2673,2700,2654,520,2540.298828
2600,2640,2527.850098,866,2414.087158
2475,2498,2402.75,559,2294.08374
2300,2455,2282.800049,1695,2330.79126
2450,2451.199951,2350,713,2261.193359
2290,2370,2150,1330,2104.338135
2325,2325,2100,911,2046.339355
2185,2242,2165,892,2121.617432
2280.050049,2370,2220,1537,2149.065674
2300,2320,2236,765,2199.807861
2253,2399,2204.199951,847,2237.756592
2251,2477.5,2250.5,1407,2308.594238
2500,2540,2450.050049,1007,2380.578857
2525,2525,2385.100098,1013,2366.974121
2549,2565,2428,1437,2343.344971
2436,2484,2350,1054,2267.20874
2400,2400,2350.600098,301,2268.067871
2400,2499,2400,624,2311.31543
2490,2490,2380,883,2302.675049
2500,2500,2400,904,2306.876465
2479,2479.949951,2401,964,2329.836426
2440,2470,2401,1453,2313.55957
2499.100098,2499.100098,2405.050049,321,2328.404297
2497.100098,2505,2450,1453,2351.9375
2460,2489.949951,2450,307,2363.87207
2450,2556,2450,1084,2397.333496
2450,2552,2450,956,2418.145752
2510,2560,2460,708,2399.432861
2475,2546.949951,2474.5,426,2403.873047
2510,2537.449951,2490,1086,2405.114258
2500,2531,2485,909,2397.046387
2520,2560,2455.100098,871,2389.552246
2520,2635,2470,4941,2490.845703
2600,2648,2600,2030,2497.38501
2551,2625,2550,916,2487.504639
2630,2635,2600,507,2490.368408
2620,2648.899902,2605,346,2509.55835
2660,2879.949951,2607.5,1046,2667.511719
2850,2949.800049,2752,1915,2703.122559
2880,2978,2808,2025,2807.374512
2935,2950,2900,1677,2790.858887
2915,2974,2896,805,2807.565918
2950,3231.600098,2950,6773,3088.341553
3344.699951,3344.699951,3155,5323,3106.164551
3500,3500,3180,4193,3096.94165
3260,3309,3250,1756,3140.85498
3260,3615.25,3260,9150,3454.984131
3700,3748,3435,14664,3293.33252
3520,3538.899902,3430,6367,3291.564209
3490,3616.5,3460.050049,5021,3456.178223
3750,3770,3600,4953,3446.669922
3700,3700,3450,4104,3344.747314
3511,3590,3511,2076,3393.247559
3405,3580,3405,1435,3361.089355
3589.649902,3665,3521,5523,3493.209961
3550.050049,3700,3550.050049,4752,3467.932617
3600,3610,3556,1637,3432.429443
3694,3694,3560,4775,3479.019043
3600,3694,3600,1897,3494.931152
3600,3675,3581,1562,3470.943359
3649.949951,3695,3620,4445,3498.515381
3665,3843.850098,3665,6942,3551.936279
3675,3810,3660.050049,5060,3628.91626
3800,3909.899902,3790,4678,3671.53833
3840,3875,3820,3793,3695.525635
3875,3894,3820.050049,1649,3666.377441
3762.800049,3870,3762.800049,1420,3685.682861
3860,4040,3840,8991,3791.379883
3915,4019.949951,3768.899902,4443,3623.468262
3835,3885,3780,3654,3699.63501
3946.800049,3999.949951,3850,3126,3743.022949
